,timestamp
176,1155879360.0
177,1155894991.0
178,1155903691.0
179,1155905554.0
180,1155927288.0
181,1155943126.0
182,1156260051.0
183,1156263379.0
184,1156268976.0
185,1156331686.0
186,1156345156.0
187,1156371800.0
188,1156373691.0
189,1156384606.0
190,1156385252.0
191,1156436635.0
192,1156465440.0
193,1156550549.0
194,1156703757.0
195,1156746394.0
196,1157050254.0
197,1157050667.0
198,1157115711.0
199,1157136004.0
200,1157205160.0
201,1157486604.0
202,1157490531.0
203,1157508421.0
204,1157519340.0
205,1157557201.0
206,1157617208.0
207,1157709598.0
208,1157759675.0
209,1157838444.0
210,1157891599.0
211,1157993054.0
212,1158082671.0
213,1158137690.0
214,1158238479.0
215,1158274690.0
216,1158282366.0
217,1158333387.0
218,1158357333.0
219,1158372525.0
220,1158406458.0
221,1158500873.0
222,1158504392.0
223,1158516005.0
224,1158519450.0
225,1158520626.0
226,1158569273.0
227,1158632858.0
228,1158640105.0
229,1158673934.0
230,1158679684.0
231,1158687193.0
232,1158692081.0
233,1158695458.0
234,1158776397.0
235,1158779121.0
236,1158882194.0
237,1158897036.0
238,1158921382.0
239,1158932286.0
240,1158960098.0
241,1159037933.0
242,1159121853.0
243,1159195209.0
244,1159215533.0
245,1159607367.0
246,1159619965.0
247,1159640259.0
248,1159644189.0
249,1159648928.0
250,1159680581.0
251,1159700539.0
252,1159701530.0
253,1159711764.0
254,1159854724.0
255,1159937307.0
256,1160057199.0
257,1160142203.0
258,1160607715.0
259,1160802276.0
260,1160872766.0
261,1161071997.0
262,1161290057.0
263,1161815314.0
264,1161874575.0
265,1161948225.0
266,1161953965.0
267,1161962636.0
268,1161966874.0
269,1161972393.0
270,1161986429.0
271,1161996415.0
272,1162145583.0
273,1162170415.0
274,1162179795.0
275,1162224880.0
276,1162229546.0
277,1162380656.0
278,1162872943.0
279,1162873399.0
280,1162878488.0
281,1162919799.0
282,1162932356.0
283,1162935172.0
284,1162937712.0
285,1162975970.0
286,1162976461.0
287,1162999996.0
288,1163267306.0
289,1163269317.0
290,1163282366.0
291,1163292276.0
292,1163326360.0
293,1163340469.0
294,1163420003.0
295,1163439505.0
296,1163527271.0
297,1163634040.0
298,1163636320.0
299,1163648967.0
300,1163655182.0
301,1163690650.0
302,1163708434.0
303,1163713213.0
304,1163718486.0
305,1163725866.0
306,1163733724.0
307,1163746680.0
308,1163910605.0
309,1164046500.0
310,1164097979.0
311,1164236345.0
312,1164481308.0
313,1164486282.0
314,1164587459.0
315,1164699974.0
316,1164840512.0
317,1164895518.0
318,1164922415.0
319,1164923244.0
320,1164933400.0
321,1164958090.0
322,1165012543.0
323,1165024373.0
324,1165040150.0
325,1165121666.0
326,1165161858.0
327,1165171329.0
328,1165236390.0
329,1165238506.0
330,1165239565.0
331,1165251637.0
332,1165329246.0
333,1165335339.0
334,1165344731.0
335,1165365780.0
336,1165415129.0
337,1165436494.0
338,1165444796.0
339,1165477617.0
340,1165528442.0
341,1165554011.0
342,1165558139.0
343,1165580386.0
344,1165591064.0
345,1165592243.0
346,1165594029.0
347,1165621092.0
348,1165626924.0
349,1165656283.0
350,1165656432.0
351,1165668782.0
352,1165719657.0
353,1165720748.0
354,1165875245.0
355,1165875651.0
356,1165876648.0
357,1165878548.0
358,1165878931.0
359,1165879876.0
360,1165885654.0
361,1165889329.0
362,1165927110.0
363,1165937010.0
364,1165945070.0
365,1165948409.0
366,1165965633.0
367,1166032886.0
368,1166069171.0
369,1166110803.0
370,1166125478.0
371,1166127290.0
372,1166128542.0
373,1166132731.0
374,1166140048.0
375,1166149702.0
376,1166152160.0
377,1166153537.0
378,1166154433.0
379,1166213667.0
380,1166231526.0
381,1166239814.0
382,1166245047.0
383,1166253103.0
384,1166253884.0
385,1166266800.0
386,1166299406.0
387,1166301669.0
388,1166370857.0
389,1166385409.0
390,1166393955.0
391,1166404034.0
392,1166517237.0
393,1166564937.0
394,1166567650.0
395,1166630702.0
396,1166637029.0
397,1166641013.0
398,1166643660.0
399,1166654974.0
400,1166662581.0
401,1166694875.0
402,1166709060.0
403,1166716375.0
404,1166805084.0
405,1166809879.0
406,1166810000.0
407,1166815078.0
408,1166828510.0
409,1166840089.0
410,1166852846.0
411,1166915006.0
412,1167086220.0
413,1167086621.0
414,1167096471.0
415,1167108458.0
416,1167110318.0
417,1167111291.0
418,1167118862.0
419,1167146339.0
420,1167208518.0
421,1167289305.0
422,1167307067.0
423,1167310844.0
424,1167342286.0
425,1167362802.0
426,1167374419.0
427,1167380375.0
428,1167392861.0
429,1167423492.0
430,1167536122.0
